Ingested		
DEVRYACD.SZRCDGW_RUN_DATE			
DEVRYACD.SZRCNVS			
DEVRYACD.SZRCNVS_SAVE_20200210			
DEVRYACD.SZRCRLC			
DEVRYACD.SZRCSCN			
DEVRYACD.SZRCSDV			
DEVRYACD.SZRCSMC			
DEVRYACD.SZRDEGC			
DEVRYACD.SZRDETC			
DEVRYACD.SZRDETC_DEV03_BACKUP			
DEVRYACD.SZRDLDA			
DEVRYACD.SZRDLDA_SAVE_20200210			
DEVRYACD.SZR_DSAMS_ONLNE_ATTND_IMP_STG			
DEVRYACD.SZRETRM			
DEVRYACD.SZRFCIO			
DEVRYACD.SZRFTYP			
DEVRYACD.SZRISSR			
DEVRYACD.SZRJPNV			
DEVRYACD.SZRLCRF			
DEVRYACD.SZRMCDV			
DEVRYACD.SZRMCPA			
DEVRYACD.SZRMILT			
DEVRYACD.SZRPGPA			
DEVRYACD.SZRPGPA_BKUP			
DEVRYACD.SZRPRGM			
DEVRYACD.SZRPTST			
DEVRYACD.SZRPTST_BKUP20120725			
DEVRYACD.SZRPTST_FOR_LOADING			
DEVRYACD.SZRRDEF			
DEVRYACD.SZRRGFE_AUDIT			
DEVRYACD.SZRRHST			
DEVRYACD.SZRRHST_DEV03_BACKUP			
DEVRYACD.SZRRLVL			
DEVRYACD.SZRRLVL_DEV03_BACKUP			
DEVRYACD.SZRRRUL			
DEVRYACD.SZRRRUL_DEV03_BACKUP			
DEVRYACD.SZRSASH			
DEVRYACD.SZRSASR			
DEVRYACD.SZRSAST			
DEVRYACD.SZRSCRN			
DEVRYACD.SZRSCRN_DEV03_BACKUP			
DEVRYACD.SZRSDRR			
DEVRYACD.SZRSFLT			
DEVRYACD.SZRSLLD			
DEVRYACD.SZRSTCR			
DEVRYACD.SZRSTCR_BKUP			
DEVRYACD.SZRSTCR_HISTORY			
DEVRYACD.SZRTASH			
DEVRYACD.SZRTASR			
DEVRYACD.SZRTAST			
DEVRYACD.SZRTDRR			
DEVRYACD.SZRTFLT			
DEVRYACD.SZRTPGM			
DEVRYACD.SZRUASE			
DEVRYACD.SZRVLLD			
DEVRYACD.SZRWADV			
DEVRYACD.SZRWSCP			
DEVRYACD.SZTFCIO			
DEVRYACD.SZTFCIO_IDM			
DEVRYACD.SZTFCIO_INPUT_STG			
DEVRYACD.SZTFCIO_STG			
DEVRYACD.SZVAIPP			
DEVRYACD.SZVASCC			
DEVRYACD.SZVASCI			
DEVRYACD.SZVASLR			
DEVRYACD.SZVASPS			
DEVRYACD.SZVASRN			
DEVRYACD.SZVELIM			
DEVRYACD.SZVEOCE			
DEVRYACD.SZVFTCW			
DEVRYACD.SZVFTYP			
DEVRYACD.SZVMBRH			
DEVRYACD.SZVMCMC			
DEVRYACD.SZVMINS			
DEVRYACD.SZVMMOS			
DEVRYACD.SZVMRPG			
DEVRYACD.SZVMSPS			
DEVRYACD.SZVMSTS			
DEVRYACD.SZVRFND			
DEVRYACD.TEMP_AACL			
DEVRYACD.TEMP_AACL_BKUP			
DEVRYACD.TEMP_AACL_ERR			
DEVRYACD.TEMP_AACL_EXEM			
DEVRYACD.TEMP_INST			
DEVRYACD.TEMP_NR101			
DEVRYACD.TEMP_NR101_ERR			
DEVRYACD.TEMP_NR101_EXEM			
DEVRYACD.TEMP_NR101_TMCM			
DEVRYACD.TEMP_RIGHTNOW_EXTRACT			
DEVRYACD.TEMP_RIGHTNOW_LOAD			
DEVRYACD.TEMP_UNTR_AUDIT			
DEVRYACD.TEMP_UNTR_AUDIT_BKUP			
DEVRYACD.TEMP_UNTR_RPT			
DEVRYACD.TPACS_PROGRAM_GROUPS			
DEVRYACD.TTBTAXN_2018BKUP			
DEVRYACD.TZR_TBRACCT_EVWK_UPD			
DEVRYACD.VOYAGER_LOCATIONS			
DEVRYACD.VOYAGER_TEMP_TABLE			
DEVRYACD.XAP_MSG			
DEVRYADM.BANNER_ADMISSION_QT			
DEVRYADM.BANNER_CHKL_QT			
DEVRYADM.BANNER_OUT_HOLD_QT			
DEVRYADM.BNROUT_FACULTY_ASSIGN_QT			
DEVRYADM.BNROUT_FACULTY_QT			
DEVRYADM.BNR_OUT_TEST_SCORES_QT			
DEVRYADM.DATABASECHANGELOG			
DEVRYADM.DATABASECHANGELOGLOCK			
DEVRYADM.DEFRAG_CONFIG			
DEVRYADM.ER5678_TEMP			
DEVRYADM.GZBAPPL			
DEVRYADM.GZBAPPL_26MAY18			
DEVRYADM.GZBAPPL_29MAY18			
DEVRYADM.GZBAPPL_BKP_06202018			
DEVRYADM.GZBAPPL_BKP_I4783_REMOVE			
DEVRYADM.OSS_BNR_APP_EXPIRE			
DEVRYADM.SZABTRM			
DEVRYADM.SZASNAM			
DEVRYADM.SZATXWK			
DEVRYADM.SZPAMBY			
DEVRYADM.SZRAEXP			
DEVRYADM.SZRSTRM			
DEVRYADM.SZRSTRM_5705			
DEVRYADM.SZRSTRM_CVT			
DEVRYADM.SZTSTYP			
DEVRYAR.BANNER_PPL_JOB_AUDIT_LOG			
DEVRYAR.BANNER_PPL_REFUNDS_TEMP			
DEVRYAR.BANNER_PPL_SKIP_STATUS			
DEVRYAR.BANNER_PRODIS_AUDIT_LOG			
DEVRYAR.BANNER_PRODIS_SKIP_STATUS			
DEVRYAR.BANR2T4			
DEVRYAR.BATCH_JOB_EXECUTION			
DEVRYAR.BATCH_JOB_EXECUTION_BKP			
DEVRYAR.BATCH_JOB_EXECUTION_CONTEXT			
DEVRYAR.BATCH_JOB_EXECUTION_CTX_BKP			
DEVRYAR.BATCH_JOB_INSTANCE			
DEVRYAR.BATCH_JOB_INSTANCE_BKP			
DEVRYAR.BATCH_JOB_PARAMS			
DEVRYAR.BATCH_JOB_PARAMS_BKP			
DEVRYAR.BATCH_RECORD_FIELD_MAPPING			
DEVRYAR.BATCH_REJECT_FIELD_TYPES			
DEVRYAR.BATCH_REJECTS			
DEVRYAR.BATCH_REJECT_STATUS_CODES			
DEVRYAR.BATCH_STEP_EXECUTION			
DEVRYAR.BATCH_STEP_EXECUTION_BKP			
DEVRYAR.BATCH_STEP_EXECUTION_CONTEXT			
DEVRYAR.BATCH_STEP_EXECUTION_CTX_BKP			
DEVRYAR.DATABASECHANGELOG			
DEVRYAR.DATABASECHANGELOGLOCK			
DEVRYAR.DEVRYAR_AUDIT_DATA_MASTER			
DEVRYAR.DEVRYAR_AUDIT_INTER_MANAGE			
DEVRYAR.DEVRYAR_MEMO_AUD			
DEVRYAR.DV_AGING_TABLE			
DEVRYAR.DZCGRPT			
DEVRYAR.GZRFABK			
DEVRYAR.GZRFAUD			
DEVRYAR.GZRFCTL			
DEVRYAR.GZRPAUD			
DEVRYAR.GZRPBAK			
DEVRYAR.GZRPCTL			
DEVRYAR.MEMOAIDSESSION_TMP			
DEVRYAR.PPL_LOAN_TYPE_MAPPING			
DEVRYAR.TBRDEM_AID_DET_BKP			
DEVRYAR.TBRDEM_BKP			
DEVRYAR.TBRMEMO_AID_DETAIL			
DEVRYAR.TBRMEMO_SCHEDULE			
DEVRYAR.TBRMEMO_SCHEDULE_TYPE			
DEVRYAR.TEMP_SSN_BDATE			
